Name,Date,Close/Last,Volume,Open,High,Low
SBUX,11/30/20,$98.02 ,5197253,$98.20 ,$98.29 ,$96.96 
SBUX,11/27/20,$98.66 ,2169708,$98.48 ,$98.98 ,$98.28 
SBUX,11/25/20,$98.20 ,4027147,$98.50 ,$98.54 ,$97.94 
SBUX,11/24/20,$98.30 ,6323025,$97.51 ,$98.72 ,$97.40 
SBUX,11/23/20,$96.88 ,4805779,$97.62 ,$97.86 ,$96.42 
SBUX,11/20/20,$97.01 ,4610081,$97.42 ,$97.54 ,$96.95 
SBUX,11/19/20,$97.76 ,4252272,$97.24 ,$97.92 ,$96.86 
SBUX,11/18/20,$97.91 ,6039520,$98.63 ,$99.33 ,$97.91 
SBUX,11/17/20,$98.60 ,8722293,$97.21 ,$98.78 ,$96.81 
SBUX,11/16/20,$97.78 ,9367636,$96.79 ,$97.81 ,$96.02 
SBUX,11/13/20,$95.56 ,5518003,$94.38 ,$95.59 ,$93.70 
SBUX,11/12/20,$93.53 ,7061844,$94.66 ,$94.76 ,$92.66 
SBUX,11/11/20,$95.04 ,8296547,$94.11 ,$95.83 ,$94.02 
SBUX,11/10/20,$93.92 ,10474700,$93.74 ,$95.27 ,$93.14 
SBUX,11/9/20,$95.88 ,16225770,$97.32 ,$97.65 ,$95.64 
SBUX,11/6/20,$90.65 ,6626107,$90.15 ,$91.20 ,$89.78 
SBUX,11/5/20,$90.62 ,6169717,$90.69 ,$91.16 ,$89.90 
SBUX,11/4/20,$89.79 ,10509390,$88.90 ,$91.29 ,$88.74 
SBUX,11/3/20,$88.39 ,6910439,$86.78 ,$89.06 ,$86.18 
SBUX,11/2/20,$85.97 ,8904850,$87.54 ,$87.77 ,$85.45 
SBUX,10/30/20,$86.96 ,11402800,$87.75 ,$88.39 ,$85.63 
SBUX,10/29/20,$88.30 ,8440044,$87.17 ,$89.11 ,$86.61 
SBUX,10/28/20,$87.17 ,12738750,$88.65 ,$88.95 ,$86.61 
SBUX,10/27/20,$90.05 ,8027508,$89.48 ,$90.35 ,$89.17 
SBUX,10/26/20,$89.66 ,7756413,$90.03 ,$91.13 ,$88.65 
SBUX,10/23/20,$90.80 ,7811524,$89.80 ,$90.96 ,$89.44 
SBUX,10/22/20,$89.36 ,4259035,$88.02 ,$89.38 ,$87.70 
SBUX,10/21/20,$88.27 ,4119201,$88.38 ,$89.16 ,$88.19 
SBUX,10/20/20,$88.51 ,4942578,$88.68 ,$89.72 ,$88.04 
SBUX,10/19/20,$87.60 ,5426622,$88.70 ,$89.57 ,$87.36 
SBUX,10/16/20,$88.52 ,4722554,$89.39 ,$89.63 ,$88.44 
SBUX,10/15/20,$88.83 ,5002626,$88.16 ,$88.87 ,$87.67 
SBUX,10/14/20,$89.31 ,4763260,$90.17 ,$90.60 ,$88.56 
SBUX,10/13/20,$90.16 ,5731971,$90.58 ,$90.85 ,$89.77 
SBUX,10/12/20,$90.78 ,5909054,$90.46 ,$91.10 ,$89.93 
SBUX,10/9/20,$90.01 ,6197682,$89.80 ,$90.33 ,$89.58 
SBUX,10/8/20,$89.53 ,4958766,$88.46 ,$89.61 ,$88.41 
SBUX,10/7/20,$88.45 ,5179285,$87.82 ,$88.98 ,$87.44 
SBUX,10/6/20,$87.01 ,7951077,$88.65 ,$89.28 ,$86.80 
SBUX,10/5/20,$88.47 ,7004835,$87.27 ,$88.68 ,$87.20 
SBUX,10/2/20,$86.57 ,5602288,$85.15 ,$87.13 ,$85.09 
SBUX,10/1/20,$86.74 ,7241186,$87.04 ,$87.45 ,$86.20 
SBUX,9/30/20,$85.92 ,10134360,$86.63 ,$87.16 ,$85.47 
SBUX,9/29/20,$84.80 ,4064974,$86.25 ,$86.25 ,$84.63 
SBUX,9/28/20,$86.07 ,5976196,$85.52 ,$86.24 ,$84.99 
SBUX,9/25/20,$84.30 ,5981463,$82.53 ,$84.69 ,$82.22 
SBUX,9/24/20,$83.04 ,4881473,$82.63 ,$84.14 ,$81.92 
SBUX,9/23/20,$82.99 ,6414658,$84.38 ,$84.90 ,$82.82 
SBUX,9/22/20,$83.95 ,4464961,$84.05 ,$84.39 ,$83.18 
SBUX,9/21/20,$83.89 ,7188830,$82.86 ,$83.95 ,$81.75 
SBUX,9/18/20,$84.95 ,10113450,$86.81 ,$87.24 ,$84.60 
SBUX,9/17/20,$86.75 ,7386586,$87.05 ,$87.32 ,$85.36 
SBUX,9/16/20,$88.38 ,7146989,$88.00 ,$89.43 ,$87.75 
SBUX,9/15/20,$87.71 ,8361907,$87.18 ,$88.25 ,$87.17 
SBUX,9/14/20,$86.63 ,5535807,$85.75 ,$87.06 ,$85.64 
SBUX,9/11/20,$85.27 ,7103251,$84.95 ,$85.85 ,$84.15 
SBUX,9/10/20,$84.88 ,7551958,$85.80 ,$87.07 ,$84.53 
SBUX,9/9/20,$85.86 ,6928650,$85.93 ,$86.83 ,$84.46 
SBUX,9/8/20,$85.41 ,11083140,$85.27 ,$87.58 ,$84.77 
SBUX,9/4/20,$86.27 ,10349370,$87.10 ,$87.78 ,$85.31 
SBUX,9/3/20,$86.48 ,11036640,$88.60 ,$88.98 ,$85.69 
SBUX,9/2/20,$88.35 ,11378890,$86.51 ,$88.75 ,$86.29 
SBUX,9/1/20,$86.05 ,8168825,$84.70 ,$86.09 ,$84.23 
SBUX,8/31/20,$84.47 ,6401571,$84.63 ,$85.36 ,$84.03 
SBUX,8/28/20,$85.00 ,9303909,$83.79 ,$85.29 ,$83.43 
SBUX,8/27/20,$83.41 ,9099186,$82.75 ,$83.64 ,$82.50 
