Date,Close/Last,Volume,Open,High,Low
5/4/23,161.2,95108490,162.71,162.95,159.65
5/3/23,160.61,119728000,160.01,165,159.91
5/2/23,160.31,128259700,161.88,165.49,158.93
5/1/23,161.83,109015000,163.17,163.28,158.83
4/28/23,164.31,122515800,160.9,165,157.32
4/27/23,160.19,127015200,152.64,160.48,152.37
4/26/23,153.75,153364100,160.29,160.67,153.14
4/25/23,160.67,121999300,159.82,163.47,158.75
4/24/23,162.55,140006600,164.65,165.65,158.61
4/21/23,165.08,123539000,164.8,166,161.32
4/20/23,162.99,210970800,166.17,169.7,160.56
4/19/23,180.59,125732700,179.1,183.5,177.65
4/18/23,184.31,92067020,187.15,187.69,183.58
4/17/23,187.04,116662200,186.32,189.69,182.69
4/14/23,185,96438660,183.95,186.28,182.01
4/13/23,185.9,112933000,182.96,186.5,180.94
4/12/23,180.54,150256300,190.74,191.58,180.31
4/11/23,186.79,115770900,186.69,189.19,185.65
4/10/23,184.51,142154600,179.94,185.1,176.11
4/6/23,185.06,123857900,183.08,186.39,179.74
4/5/23,185.52,133882500,190.52,190.68,183.76
4/4/23,192.58,126463800,197.32,198.74,190.32
4/3/23,194.77,169545900,199.91,202.69,192.2
3/31/23,207.46,170222100,197.53,207.79,197.2
3/30/23,195.28,110252200,195.58,197.33,194.42
3/29/23,193.88,123660000,193.13,195.29,189.44
3/28/23,189.19,98654640,192,192.35,185.43
3/27/23,191.81,120851600,194.42,197.39,189.94
3/24/23,190.41,116531600,191.65,192.36,187.15
3/23/23,192.22,144193900,195.26,199.31,188.65
3/22/23,191.15,150376400,199.3,200.66,190.95
3/21/23,197.58,153391400,188.28,198,188.04
3/20/23,183.25,129684400,178.08,186.44,176.35
3/17/23,180.13,133197100,184.52,186.22,177.33
3/16/23,184.13,121374500,180.37,185.81,178.84
3/15/23,180.45,145995600,180.8,182.34,176.03
3/14/23,183.26,143717900,177.31,183.8,177.14
3/13/23,174.48,167790300,167.46,177.35,163.91
3/10/23,173.44,191488900,175.13,178.29,168.44
3/9/23,172.92,170023800,180.25,185.18,172.51
3/8/23,182,151897800,185.04,186.5,180
3/7/23,187.71,148125800,191.38,194.2,186.1
3/6/23,193.81,128100100,198.54,198.6,192.3
3/3/23,197.79,154193300,194.8,200.48,192.88
3/2/23,190.9,181979200,186.74,193.75,186.01
3/1/23,202.77,156852800,206.21,207.2,198.52
2/28/23,205.71,153144900,210.59,211.23,203.75
2/27/23,207.63,161028300,202.03,209.42,201.26
2/24/23,196.88,142228100,196.33,197.67,192.8
2/23/23,202.07,146360000,203.91,205.14,196.33
2/22/23,200.86,191828500,197.93,201.99,191.78
2/21/23,197.37,180018600,204.99,209.71,197.22
2/17/23,208.31,213738500,199.99,208.44,197.5
2/16/23,202.04,229586500,210.78,217.65,201.84
2/15/23,214.24,182108600,211.76,214.66,206.11
2/14/23,209.25,216455700,191.94,209.82,189.44
2/13/23,194.64,172475500,194.42,196.3,187.61
2/10/23,196.89,204754100,202.23,206.2,192.89
2/9/23,207.32,215431400,207.78,214,204.77
2/8/23,201.29,180673600,196.1,203,194.31
2/7/23,196.81,186010300,196.43,197.5,189.55
2/6/23,194.76,186188100,193.01,198.17,189.92
2/3/23,189.98,232662000,183.95,199,183.69
2/2/23,188.27,217448300,187.33,196.75,182.61
2/1/23,181.41,213806300,173.89,183.81,169.93
1/31/23,173.22,196813500,164.57,174.3,162.78
1/30/23,166.66,230878800,178.05,179.77,166.5
1/27/23,177.9,306590600,162.43,180.68,161.17
1/26/23,160.27,234815100,159.97,161.42,154.76
1/25/23,144.43,192734300,141.91,146.41,138.07
1/24/23,143.89,158699100,143,146.5,141.1
1/23/23,143.75,203119200,135.87,145.38,134.27
1/20/23,133.42,138858100,128.68,133.51,127.35
1/19/23,127.17,170291900,127.26,129.99,124.31
1/18/23,128.78,195680300,136.56,136.68,127.01
1/17/23,131.49,186477000,125.7,131.7,125.02
1/13/23,122.4,180714100,116.55,122.63,115.6
1/12/23,123.56,169400900,122.56,124.13,117
1/11/23,123.22,183810800,122.09,125.95,120.51
1/10/23,118.85,167642500,121.07,122.76,114.92
1/9/23,119.77,190284000,118.96,123.52,117.11
1/6/23,113.06,220911100,103,114.39,101.81
1/5/23,110.34,157986300,110.51,111.75,107.16
1/4/23,113.64,180389000,109.11,114.59,107.52
1/3/23,108.1,231402800,118.47,118.8,104.64
12/30/22,123.18,157777300,119.95,124.48,119.75
12/29/22,121.82,221923300,120.39,123.57,117.5
12/28/22,112.71,221070500,110.35,116.27,108.24
12/27/22,109.1,208643400,117.5,119.67,108.76
12/23/22,123.15,166989700,126.37,128.62,121.02
12/22/22,125.35,210090300,136,136.63,122.26
12/21/22,137.57,145417400,139.34,141.26,135.89
12/20/22,137.8,159563300,146.05,148.47,137.66
12/19/22,149.87,139390600,154,155.25,145.82
12/16/22,150.23,139032200,159.64,160.99,150.04
12/15/22,157.67,122334500,153.44,160.93,153.28
12/14/22,156.8,140682300,159.25,161.62,155.31
12/13/22,160.95,175862700,174.87,175.05,156.91
12/12/22,167.82,109794500,176.1,177.37,167.52
12/9/22,179.05,104872300,173.84,182.5,173.36
12/8/22,173.44,97624490,172.2,175.2,169.06
12/7/22,174.04,84213280,175.03,179.38,172.22
12/6/22,179.82,92150820,181.22,183.65,175.33
12/5/22,182.45,93122670,189.44,191.27,180.55
12/2/22,194.86,73645920,191.78,196.25,191.11
12/1/22,194.7,80046210,197.08,198.92,191.8
11/30/22,194.7,109186400,182.43,194.76,180.63
11/29/22,180.83,83357110,184.99,186.38,178.75
11/28/22,182.92,93038150,179.96,188.5,179
11/25/22,182.86,50672740,185.06,185.2,180.63
11/23/22,183.2,109536700,173.57,183.62,172.5
11/22/22,169.91,78452330,168.63,170.92,166.19
11/21/22,167.87,92882710,175.85,176.77,167.54
11/18/22,180.19,76048870,185.05,185.19,176.55
11/17/22,183.17,64335970,183.96,186.16,180.9
11/16/22,186.92,66567600,191.51,192.57,185.66
11/15/22,194.42,91293790,195.88,200.82,192.06
11/14/22,190.95,92226650,192.77,195.73,186.34
11/11/22,195.97,114403600,186,196.52,182.59
11/10/22,190.72,132703000,189.9,191,180.03
11/9/22,177.59,127062700,190.78,195.89,177.12
11/8/22,191.3,128803400,194.02,195.2,186.75
11/7/22,197.08,93916520,208.65,208.9,196.66
11/4/22,207.47,98622210,222.6,223.8,203.08
11/3/22,215.31,56538850,211.36,221.2,210.14
11/2/22,214.98,63070290,226.04,227.87,214.82
11/1/22,227.82,62688820,234.05,237.4,227.28
10/31/22,227.54,61554340,226.19,229.85,221.94
10/28/22,228.52,69152390,225.4,228.86,216.35
10/27/22,225.09,61638820,229.77,233.81,222.85
10/26/22,224.64,85327080,219.4,230.6,218.2
10/25/22,222.42,96507870,210.1,224.35,210
10/24/22,211.25,100446800,205.82,213.5,198.59
10/21/22,214.44,75713750,206.42,214.66,203.8
10/20/22,207.28,117798100,208.28,215.55,202
10/19/22,222.04,66571480,219.8,222.93,217.78
10/18/22,220.19,75891910,229.5,229.82,217.25
10/17/22,219.35,79428810,210.04,221.86,209.45
10/14/22,204.99,94124510,224.01,226.26,204.16
10/13/22,221.72,91483050,208.3,222.99,206.22
10/12/22,217.24,66860700,215.33,219.3,211.51
10/11/22,216.5,77013200,220.95,225.75,215
10/10/22,222.96,67925020,223.93,226.99,218.36
10/7/22,223.07,83916800,233.94,234.57,222.02
